-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
15-01-05 15:38:40 CLN  A NP  0     0     .00 0.165   .029  .000       0    0.000
15-01-05 15:42:14 CLN  B OK  0   213    3.60 0.164   .032 0.309  494935    0.000
15-01-05 21:25:00 CONT A OK  0   300    5.00 0.170   .033 0.181   33643    1.555
15-01-05 21:30:00 CONT B OK  0   300    5.00 0.170   .031 0.181   34572    1.589
15-01-05 21:35:00 CONT A OK  0   300    5.00 0.170   .031 0.181   33875    1.566
15-01-05 21:40:00 CONT B OK  0   300    5.00 0.170   .033 0.181   34346    1.579
15-01-05 21:45:00 CONT A OK  0   300    5.00 0.170   .031 0.181   34264    1.584
15-01-05 21:50:00 CONT B OK  0   300    5.00 0.170   .031 0.181   34344    1.578
15-01-05 21:55:00 CONT A OK  0   300    5.00 0.170   .029 0.181   33237    1.537
15-01-05 22:00:00 CONT B OK  0   300    5.00 0.170   .038 0.181   33229    1.528
15-01-05 22:05:00 CONT A OK  0   300    5.00 0.170   .031 0.181   34374    1.589
15-01-05 22:10:00 CONT B OK  0   300    5.00 0.170   .029 0.181   34050    1.565
15-01-05 22:15:00 CONT A OK  0   300    5.00 0.170   .036 0.181   34721    1.605
15-01-05 22:20:00 CONT B OK  0   300    5.00 0.170   .027 0.181   34209    1.572
15-01-05 22:25:00 CONT A OK  0   300    5.00 0.170   .030 0.181   34419    1.591
15-01-05 22:30:00 CONT B OK  0   300    5.00 0.170   .036 0.181   33524    1.541
15-01-05 22:35:00 CONT A OK  0   300    5.00 0.170   .033 0.181   34698    1.604
15-01-05 22:40:00 CONT B OK  0   300    5.00 0.170   .031 0.181   33364    1.533
15-01-05 22:45:00 CONT A OK  0   300    5.00 0.170   .029 0.181   34063    1.575
15-01-05 22:50:00 CONT B OK  0   300    5.00 0.170   .035 0.181   33872    1.557
15-01-05 22:55:00 CONT A OK  0   300    5.00 0.170   .028 0.181   34614    1.600
15-01-05 23:00:00 CONT B OK  0   300    5.00 0.170   .031 0.181   35350    1.625
15-01-05 23:05:00 CONT A OK  0   300    5.00 0.170   .033 0.182   35188    1.627
15-01-05 23:10:00 CONT B OK  0   300    5.00 0.170   .030 0.181   35041    1.610
15-01-05 23:15:00 CONT A OK  0   300    5.00 0.170   .029 0.181   35246    1.629
15-01-05 23:20:00 CONT B OK  0   300    5.00 0.170   .028 0.181   34160    1.571
15-01-05 23:25:00 CONT A OK  0   300    5.00 0.170   .037 0.181   33900    1.567
15-01-05 23:30:00 CONT B OK  0   300    5.00 0.170   .030 0.181   33314    1.532
15-01-05 23:35:00 CONT A OK  0   300    5.00 0.170   .030 0.181   33925    1.568
15-01-05 23:40:00 CONT B OK  0   300    5.00 0.170   .030 0.181   32784    1.507
15-01-05 23:45:00 CONT A OK  0   300    5.00 0.170   .024 0.181   33963    1.570
15-01-05 23:50:00 CONT B OK  0   300    5.00 0.170   .033 0.181   33929    1.560
15-01-05 23:55:00 CONT A OK  0   300    5.00 0.170   .033 0.181   33201    1.534
15-01-06 00:00:00 CONT B OK  0   300    5.00 0.170   .029 0.181   32662    1.502
