-
  Date     Time   Typ  C Stat  AdTim     Vol    Bl  BlDev  MaxV    Area    ng/m3
13-04-10 22:00:00 CONT B OK  0   300    4.99 0.182   .027 0.196   43762    1.887
13-04-10 22:05:00 CONT A OK  0   300    4.99 0.182   .025 0.196   42468    1.875
13-04-10 22:10:00 CONT B OK  0   300    4.99 0.182   .025 0.196   43106    1.858
13-04-10 22:15:00 CONT A OK  0   300    4.99 0.182   .032 0.196   41206    1.819
13-04-10 22:20:00 CONT B OK  0   300    4.99 0.182   .026 0.196   42473    1.830
13-04-10 22:25:00 CONT A OK  0   300    4.99 0.182   .026 0.196   41476    1.831
13-04-10 22:30:00 CONT B OK  0   300    4.99 0.182   .028 0.196   41213    1.777
13-04-10 22:35:00 CONT A OK  0   300    4.99 0.182   .027 0.195   40643    1.794
13-04-10 22:40:00 CONT B OK  0   300    4.99 0.182   .027 0.196   42197    1.819
13-04-10 22:45:00 CONT A OK  0   300    4.99 0.182   .029 0.195   41105    1.815
13-04-10 22:50:00 CONT B OK  0   300    4.99 0.182   .029 0.196   41879    1.805
13-04-10 22:55:00 CONT A OK  0   300    4.99 0.182   .030 0.195   40313    1.780
13-04-10 23:00:00 CONT B OK  0   300    4.99 0.182   .029 0.196   40796    1.759
13-04-10 23:05:00 CONT A OK  0   300    4.99 0.182   .027 0.195   40414    1.784
13-04-10 23:10:00 CONT B OK  0   300    4.99 0.182   .031 0.196   40934    1.764
13-04-10 23:15:00 CONT A OK  0   300    4.99 0.182   .027 0.196   41178    1.818
13-04-10 23:20:00 CONT B OK  0   300    4.99 0.182   .024 0.196   40932    1.765
13-04-10 23:25:00 CONT A OK  0   300    4.99 0.182   .027 0.196   41013    1.810
13-04-10 23:30:00 CONT B OK  0   300    4.99 0.182   .030 0.196   42743    1.843
13-04-10 23:35:00 CONT A OK  0   300    4.99 0.182   .026 0.196   40724    1.798
13-04-10 23:40:00 CONT B OK  0   300    4.99 0.182   .028 0.196   42863    1.847
13-04-10 23:45:00 CONT A OK  0   300    4.99 0.182   .048 0.196   41191    1.819
13-04-10 23:50:00 CONT B OK  0   300    4.99 0.182   .049 0.196   41892    1.806
13-04-10 23:55:00 CONT A OK  0   300    4.99 0.182   .030 0.195   40744    1.798
